2026-04-28T17:28:51 | uid=1000 | user=admin | FAILED_LOGIN: Bad password
2026-04-28T17:29:25 | uid=1000 | user=admin | LOGIN_SUCCESS: Logged in as Administrator
2026-04-28T17:38:22 | uid=1000 | user=admin | LOGOUT: User exited SSO
2026-04-28T17:38:39 | uid=1000 | user=admin | FAILED_LOGIN: Bad password
2026-04-28T17:39:02 | uid=1000 | user=admin | LOGIN_SUCCESS: Logged in as Administrator
2026-04-28T17:39:16 | uid=1000 | user=admin | LOGOUT: User exited SSO
2026-04-28T17:39:32 | uid=1000 | user=auditor | FAILED_LOGIN: Bad password
2026-04-28T17:39:55 | uid=1000 | user=auditor | LOGIN_SUCCESS: Logged in as Auditor
2026-04-28T17:40:02 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'open restricted live dashboard'. Required=['Administrator'], actual=Auditor
2026-04-28T17:40:13 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'view restricted process details'. Required=['Administrator'], actual=Auditor
2026-04-28T17:40:21 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'delete log files'. Required=['Administrator'], actual=Auditor
2026-04-28T17:40:43 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'open restricted live dashboard'. Required=['Administrator'], actual=Auditor
2026-04-28T17:40:55 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'view restricted process details'. Required=['Administrator'], actual=Auditor
2026-04-28T17:41:11 | uid=1000 | user=auditor | SECURITY_ALERT: Access denied for action 'delete log files'. Required=['Administrator'], actual=Auditor
2026-04-28T17:43:21 | uid=1000 | user=auditor | LOGOUT: User exited SSO
2026-04-28T17:43:31 | uid=1000 | user=admin | FAILED_LOGIN: Bad password
2026-04-28T17:43:44 | uid=1000 | user=admin | LOGIN_SUCCESS: Logged in as Administrator
2026-04-28T17:45:44 | uid=1000 | user=admin | SNAPSHOT_CREATED: Created snapshot_20260428_174544_admin.log with hash snapshot_20260428_174544_admin.log.sha256
2026-04-28T17:51:28 | uid=1000 | user=admin | LOGOUT: User exited SSO
2026-04-28T17:54:40 | uid=1000 | user=admin | LOGIN_SUCCESS: Logged in as Administrator
2026-04-28T17:54:43 | uid=1000 | user=admin | SNAPSHOT_CREATED: Created snapshot_20260428_175443_admin.log with hash snapshot_20260428_175443_admin.log.sha256
2026-04-28T17:54:51 | uid=1000 | user=admin | LOGOUT: User exited SSO
2026-04-28T17:59:47 | uid=1000 | user=admin | LOGIN_SUCCESS: Logged in as Administrator
2026-04-28T18:00:12 | uid=1000 | user=admin | SECURITY_ALERT: Integrity check failed for snapshot_20260428_174544_admin.log
2026-04-28T18:00:25 | uid=1000 | user=admin | SECURITY_ALERT: Integrity check failed for snapshot_20260428_174544_admin.log
2026-04-28T18:01:59 | uid=1000 | user=admin | LOG_DELETED: Deleted snapshot_20260428_174544_admin.log and matching hash file
2026-04-28T18:03:15 | uid=1000 | user=admin | LOG_DELETED: Deleted snapshot_20260428_175443_admin.log and matching hash file
2026-05-04T18:45:34 | uid=1000 | user=admin | LOGIN_SUCCESS: Logged in as Administrator
2026-05-04T18:45:59 | uid=1000 | user=admin | SNAPSHOT_CREATED: Created snapshot_20260504_184559_admin.log with hash snapshot_20260504_184559_admin.log.sha256
2026-05-04T22:15:26 | uid=1000 | user=admin | FAILED_LOGIN: Bad password
2026-05-04T22:15:37 | uid=1000 | user=admin | FAILED_LOGIN: Bad password
2026-05-04T22:15:48 | uid=1000 | user=admin | FAILED_LOGIN: Bad password
2026-05-04T22:16:01 | uid=1000 | user=Admin | FAILED_LOGIN: Unknown username
2026-05-04T22:16:13 | uid=1000 | user=Admin | FAILED_LOGIN: Unknown username
2026-05-04T22:16:21 | uid=1000 | user=Auditor | FAILED_LOGIN: Unknown username
2026-05-04T22:16:54 | uid=1000 | user=auditor | LOGIN_SUCCESS: Logged in as Auditor
2026-05-04T22:17:54 | uid=1000 | user=auditor | FAILED_LOGIN: Bad password
2026-05-04T22:18:05 | uid=1000 | user=auditor | LOGIN_SUCCESS: Logged in as Auditor
